GID	LLGTH	NBL	TIL	DEPTH	LENGTH	NR_30	SBM	RB0020	RB2030	RB3050	RB	DRB	DRP	PB	R_S	CONE_AA	CONE_MS	CONE_P	CONE
189	89	9.11	20.83	50.68	53.88	16.98	3.6713	0.3125	0.041	0.025	0.3784	0.0659	17.07	4.0501	0.1031	27	33.62	30.78	31.04
190	76.04	7.79	10.72	40.19	40.34	12.9	2.6261	0.2542	0.0209	0.0047	0.2798	0.0256	7.42	2.9023	0.1104	31.33	47.5	36.24	38.26
191	74.96	6.58	7.1	35.36	36.34	7.91	1.4751	0.1823	0.0114	0.0006	0.1943	0.012	6.48	1.6697	0.1309	62.64	67.37	54.29	61.36
192	69.7	8.18	9.41	50.69	41.39	20.08	1.9306	0.1335	0.0326	0.021	0.1872	0.0537	23.05	2.1184	0.1053	26.09	28.15	22.69	25.78
193	78.47	7.68	10.67	36.31	40.42	13.42	2.3616	0.239	0.0184	0.0042	0.2616	0.0226	8.35	2.6235	0.1152	29.8	51.36	28.73	36.48
194	82.06	7.4	6.42	40.62	40.77	13.58	1.6498	0.1716	0.0232	0.0048	0.1995	0.0279	12.25	1.8497	0.119	40.68	40.86	35.58	38.96
195	73.16	8.28	12.05	36.26	36.85	13.58	2.1802	0.2354	0.0171	0.0004	0.2529	0.0175	7.4	2.4293	0.1132	45.23	63.98	68	58.94
196	59.52	7.38	3.07	32.7	32.4	3.07	0.7133	0.0694	0.0075	0.0007	0.0788	0.0093	7.64	0.7924	0.11	43.18	52.74	46.54	47.22
197	80.26	7.89	7.25	36.98	34.45	10.83	1.5914	0.1629	0.0176	0.0029	0.1846	0.0217	11.49	1.7761	0.1205	15.09	28.72	12.15	18.35
198	76.93	6.69	4.31	25.96	27.43	-0.03	0.7351	0.0939	0.0005	-0.0009	0.0935	-0.0004	0.27	0.8292	0.1374	71.31	72.29	67.87	70.57
200	79.74	7.35	6.17	40.86	43.53	16.47	2.1275	0.17	0.037	0.0098	0.2166	0.0466	20.22	2.3445	0.1052	27.08	29.68	29.29	28.37
201	75.65	7.14	6.37	39.25	41.35	12.94	1.7298	0.1939	0.0434	0.0126	0.25	0.0561	15.9	1.9801	0.1463	20.53	26.18	29.39	25.45
202	79.91	8.05	13.13	47.76	51.59	18.61	4.1065	0.3288	0.0452	0.0305	0.4044	0.0757	17.02	4.5113	0.0973	30.39	28.83	26.95	28.64
203	72.87	7.54	5.89	32.26	33.56	7.38	1.1459	0.1426	0.0082	-0.0018	0.149	0.0064	6.51	1.295	0.1337	49.85	54	48.85	50.78
204	84.3	7.46	6.37	42.34	42.52	15.31	1.4932	0.1604	0.0259	0.0049	0.1911	0.0307	17.48	1.6846	0.1309	35.89	42.47	36.73	38.05
206	67.54	8.02	7.24	44.15	46.28	18.82	1.7313	0.2309	0.0342	0.0086	0.2736	0.0428	16.29	2.0053	0.1651	40.2	49.32	26.85	38.71
207	85.56	7.75	9.81	43.32	45.78	18.11	2.0299	0.2723	0.0397	0.0117	0.3237	0.0514	15.59	2.3537	0.159	47.2	61.6	45.61	51.15
208	79.95	7.73	7.46	29.55	30.74	9.56	1.8652	0.1862	0.0164	-0.0001	0.2036	0.0174	7.26	2.069	0.109	30.69	45.2	31.3	35.44
209	87.6	6.96	4.7	47	48.56	16.69	1.2753	0.1873	0.0335	0.02	0.2408	0.0535	19.81	1.5165	0.1705	35.85	38.18	31.27	35
211	64.28	8.4	8.55	33.82	36.16	9.07	1.5819	0.1992	0.0197	0.0019	0.2209	0.0217	8.59	1.8032	0.1309	52.27	64.88	60.09	58.98
212	72.78	8.21	16.34	32.4	33.18	7.57	2.7259	0.2703	0.0197	0.0006	0.2906	0.0203	5.23	3.017	0.1069	40.85	45.93	44.28	43.62
216	63.26	8	9.92	26.62	27.22	1.08	1.3438	0.1371	0.0061	0.0027	0.1458	0.0087	2.24	1.49	0.1034	34.7	38.46	29.1	34
217	73.52	8.81	11.68	37.34	37.49	15.57	2.5383	0.3136	0.0337	0.0212	0.3673	0.0537	13.47	2.906	0.1398	35.38	46.22	47.49	43.19
218	74.89	8.35	9.5	24.52	29.53	2.35	2.1846	0.2486	0.0035	-0.002	0.2502	0.0015	0.49	2.4353	0.1206	58	63.05	64.16	61.65
219	73.01	7.66	6.69	35.91	38.48	6.48	1.2986	0.1517	0.0135	0.0001	0.1653	0.0136	11.11	1.464	0.1327	31.65	38.35	39.74	36.23
220	74.03	7.96	14.23	30.7	28.4	1.39	2.7568	0.237	0.005	0.0006	0.2413	0.0043	1.42	2.9984	0.0903	32.41	34.07	36.81	35.23
223	62.45	7.47	4.46	25.62	25.88	-2.56	0.9403	0.0956	0.0005	-0.0012	0.0949	-0.0007	1.15	1.0356	0.1119	21.51	25.47	18.08	21.78
224	69.51	7.83	9.68	32.49	34.47	6.11	1.9933	0.2312	0.019	0.0036	0.2537	0.0225	6.34	2.2476	0.1282	58.11	60.93	60.95	59.91
227	71.34	8.26	9.39	35.5	36.28	11.89	1.712	0.1724	0.0262	0.0018	0.2003	0.0279	12.72	1.9126	0.1258	39.56	45.28	42.89	43.14
228	69.5	8.12	11.9	26.29	27.88	0.53	2.3796	0.2019	0.0052	0.0007	0.2078	0.0059	1.39	2.5877	0.0925	51.66	57.03	42.18	50.38
229	72.45	7.41	7.55	37.26	38.1	4.47	1.3452	0.1612	0.0117	0.0029	0.1759	0.0146	6.69	1.5175	0.1239	42.09	46.38	36.44	41.53
231	65.35	8.54	13.37	36.5	40.25	13.94	2.5856	0.3115	0.0425	0.0072	0.3614	0.0499	9.5	2.9474	0.1329	36.68	38.44	41.1	38.82
233	71.29	8.3	14.43	40.9	41.66	19.16	2.5397	0.2881	0.0134	0.0054	0.3081	0.02	6.53	2.8481	0.1232	37.42	47.03	41.56	41.74
234	75.89	8.15	12.63	39.95	40.6	17.14	2.5312	0.2434	0.0246	0.0064	0.2743	0.0308	10.18	2.8059	0.1111	23.65	28.93	34.18	29.49
235	85.63	7.78	11.27	31.01	31.06	3.75	2.517	0.2629	0.0085	-0.0018	0.2695	0.0066	3.9	2.7871	0.1106	23.24	30.09	27.63	26.66
236	59.47	7.57	8.84	28.32	27.75	0.6	1.1827	0.1366	0.0053	-0.0011	0.142	0.0054	3.55	1.3253	0.1239	36.94	47.55	34.46	39.38
237	80.98	8.39	15.83	36.42	36.17	18.07	3.6985	0.2591	0.0413	0.0195	0.2976	0.0385	12.53	3.9965	0.0814	19.78	29.03	20.56	23.1
239	59.4	7.93	6.09	30.19	29.83	0.65	0.8977	0.1123	0.0062	0.0015	0.1201	0.0078	4.82	1.0182	0.1273	21.1	24.39	19.37	21.46
240	69.87	7.75	2.96	36.63	35.39	5.9	0.948	0.122	0.0137	0.0006	0.1364	0.0144	10.66	1.0845	0.1342	30.98	48.41	32.39	36.93
242	86.17	8.74	20.78	37.57	41.4	16.91	5.1303	0.3979	0.0289	0.0111	0.438	0.0401	6.18	5.5687	0.0837	40.04	37.03	38.56	38.46
243	60.93	7.17	4.01	29.46	29.42	1.57	0.6749	0.0819	0.0038	0.0017	0.0873	0.0055	2.92	0.7623	0.11	12.04	32.54	19.62	21.09
